GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,AIANHHA,NAME,FYF001,FYF002,FYF003,FYF004,FYF005,FYF006,FYF007,FYF008,FYF009,FYF010,FYF011,FYF012,FYF013,FYF014
"G11000100002024008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4008","9999","Block 4008",82,4,0,15,0,4,3,3,0,0,1,0,1,0
"G11000100002024009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4009","9999","Block 4009",90,0,0,16,0,0,2,3,1,0,1,0,2,1
"G11000100002024010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4010","9999","Block 4010",92,0,0,7,0,1,0,2,0,0,0,0,1,2
"G11000100002024011","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4011","9999","Block 4011",8,1,0,0,0,0,1,0,0,0,0,0,0,0
"G11000100002024012","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4012","9999","Block 4012",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024013","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4013","9999","Block 4013",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024014","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4014","9999","Block 4014",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024015","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4015","9999","Block 4015",7,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024016","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4016","9999","Block 4016",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024017","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4017","9999","Block 4017",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024018","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4018","9999","Block 4018",18,0,0,2,0,0,1,0,0,0,0,0,0,0
"G11000100002024019","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4019","9999","Block 4019",49,1,0,0,0,0,0,10,0,0,0,0,0,0
"G11000100002024020","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4020","9999","Block 4020",34,0,0,1,0,2,4,3,0,0,0,0,0,0
"G11000100002024021","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4021","9999","Block 4021",69,0,0,5,0,0,2,4,0,0,0,0,0,0
"G11000100002024998","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4998","9999","Block 4998",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100002024999","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000202","4","4999","9999","Block 4999",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100003001000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1000","9999","Block 1000",217,5,0,8,0,1,3,8,0,0,0,0,1,0
"G11000100003001001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1001","9999","Block 1001",48,0,0,4,0,0,1,3,0,0,0,0,0,1
"G11000100003001002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1002","9999","Block 1002",141,2,0,4,0,0,4,6,0,0,0,0,2,0
"G11000100003001003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1003","9999","Block 1003",81,2,0,5,1,0,2,2,0,0,0,0,0,0
"G11000100003001004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1004","9999","Block 1004",183,2,0,10,0,0,5,17,0,0,0,0,2,1
"G11000100003001005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1005","9999","Block 1005",108,3,0,6,0,0,3,3,0,0,0,0,0,0
"G11000100003001006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1006","9999","Block 1006",117,3,0,13,0,2,4,5,0,0,0,0,1,0
"G11000100003001007","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1007","9999","Block 1007",78,0,1,0,0,0,3,3,0,0,0,0,4,0
"G11000100003001008","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1008","9999","Block 1008",93,3,0,4,0,0,1,4,0,0,0,0,0,0
"G11000100003001009","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1009","9999","Block 1009",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100003001010","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","1","1010","9999","Block 1010",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G11000100003003000","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3000","9999","Block 3000",304,12,1,17,0,2,6,20,0,1,0,0,2,1
"G11000100003003001","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3001","9999","Block 3001",617,35,2,35,0,0,19,45,1,0,0,0,8,2
"G11000100003003002","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3002","9999","Block 3002",30,0,0,5,0,0,0,0,0,0,0,0,0,0
"G11000100003003003","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3003","9999","Block 3003",85,0,0,8,1,1,4,1,0,0,0,0,1,0
"G11000100003003004","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3004","9999","Block 3004",83,0,0,4,0,0,4,8,0,0,0,0,2,0
"G11000100003003005","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3005","9999","Block 3005",88,5,0,18,0,0,0,6,0,0,0,0,0,0
"G11000100003003006","2000","District Of Columbia","11","District Of Columbia","001","50000","50000","000300","3","3006","9999","Block 3006",0,0,0,0,0,0,0,0,0,0,0,0,0,0
