GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
G11000100035,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,35,,,,,,,,,,,State: 11 County: 001 Tract: 35,48,2541,1,0,0,0,0,0,0,1,0,1,7,0,47
G11000100036,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,36,,,,,,,,,,,State: 11 County: 001 Tract: 36,751,4136,19,0,0,1,0,2,1,2,0,1,0,1,60
G11000100037,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,37,,,,,,,,,,,State: 11 County: 001 Tract: 37,189,4434,11,0,0,2,5,0,0,2,0,0,0,2,119
G11000100038,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,38,,,,,,,,,,,State: 11 County: 001 Tract: 38,999,2702,14,0,0,7,22,22,0,9,0,2,0,0,331
G11000100039,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,39,,,,,,,,,,,State: 11 County: 001 Tract: 39,1937,2535,17,0,0,5,39,3,2,27,15,1,1,0,641
G11000100040,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,40,,,,,,,,,,,State: 11 County: 001 Tract: 40,4222,1294,15,0,2,12,27,6,3,40,8,0,0,0,392
G11000100041,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,41,,,,,,,,,,,State: 11 County: 001 Tract: 41,2485,125,5,0,0,14,31,12,5,32,2,1,1,0,84
G1100010004201,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4201,,,,,,,,,,,State: 11 County: 001 Tract: 42.01,1127,2242,17,0,1,7,13,17,0,2,5,6,5,0,282
G1100010004202,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,4202,,,,,,,,,,,State: 11 County: 001 Tract: 42.02,2101,554,10,0,0,11,14,13,6,10,12,1,0,0,188
G11000100043,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,43,,,,,,,,,,,State: 11 County: 001 Tract: 43,704,2326,3,0,0,10,6,0,1,0,0,4,2,1,38
G11000100044,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,44,,,,,,,,,,,State: 11 County: 001 Tract: 44,81,1927,0,0,0,0,4,0,0,2,0,0,0,0,14
G11000100045,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,45,,,,,,,,,,,State: 11 County: 001 Tract: 45,43,1493,0,0,0,0,0,0,0,0,6,0,0,0,25
G11000100046,1980,3,5,District Of Columbia,11,8840.0,District Of Columbia,1,21.0,5.0,46,,,,,,,,,,,State: 11 County: 001 Tract: 46,61,3249,12,0,0,0,8,2,0,0,1,0,1,0,15
