GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,BUQ001,BUQ002
G11000100076,1940,District Of Columbia,11,District Of Columbia,1,,76,,STCTY-11001 TRACT-    0076     IN WASHINGTON DC,9831,22
G11000100077,1940,District Of Columbia,11,District Of Columbia,1,,77,,STCTY-11001 TRACT-    0077     IN WASHINGTON DC,4137,1839
G11000100078,1940,District Of Columbia,11,District Of Columbia,1,,78,,STCTY-11001 TRACT-    0078     IN WASHINGTON DC,2598,9781
G11000100079,1940,District Of Columbia,11,District Of Columbia,1,,79,,STCTY-11001 TRACT-    0079     IN WASHINGTON DC,5417,3448
G11000100080,1940,District Of Columbia,11,District Of Columbia,1,,80,,STCTY-11001 TRACT-    0080     IN WASHINGTON DC,9392,2141
G11000100081,1940,District Of Columbia,11,District Of Columbia,1,,81,,STCTY-11001 TRACT-    0081     IN WASHINGTON DC,4697,324
G11000100082,1940,District Of Columbia,11,District Of Columbia,1,,82,,STCTY-11001 TRACT-    0082     IN WASHINGTON DC,6249,654
G11000100083,1940,District Of Columbia,11,District Of Columbia,1,,83,,STCTY-11001 TRACT-    0083     IN WASHINGTON DC,8461,2292
G11000100084,1940,District Of Columbia,11,District Of Columbia,1,,84,,STCTY-11001 TRACT-    0084     IN WASHINGTON DC,5542,2784
G11000100085,1940,District Of Columbia,11,District Of Columbia,1,,85,,STCTY-11001 TRACT-    0085     IN WASHINGTON DC,5436,2760
G11000100086,1940,District Of Columbia,11,District Of Columbia,1,,86,,STCTY-11001 TRACT-    0086     IN WASHINGTON DC,1520,3741
G11000100087,1940,District Of Columbia,11,District Of Columbia,1,,87,,STCTY-11001 TRACT-    0087     IN WASHINGTON DC,6731,247
G11000100088,1940,District Of Columbia,11,District Of Columbia,1,,88,,STCTY-11001 TRACT-    0088     IN WASHINGTON DC,10252,2281
G11000100089,1940,District Of Columbia,11,District Of Columbia,1,,89,,STCTY-11001 TRACT-    0089     IN WASHINGTON DC,2738,1206
G11000100090,1940,District Of Columbia,11,District Of Columbia,1,,90,,STCTY-11001 TRACT-    0090     IN WASHINGTON DC,2207,126
G11000100091,1940,District Of Columbia,11,District Of Columbia,1,,91,,STCTY-11001 TRACT-    0091     IN WASHINGTON DC,5828,33
G11000100092,1940,District Of Columbia,11,District Of Columbia,1,,92,,STCTY-11001 TRACT-    0092     IN WASHINGTON DC,6996,36
G11000100093,1940,District Of Columbia,11,District Of Columbia,1,,93,,STCTY-11001 TRACT-    0093     IN WASHINGTON DC,6997,761
G11000100094,1940,District Of Columbia,11,District Of Columbia,1,,94,,STCTY-11001 TRACT-    0094     IN WASHINGTON DC,5605,14
G11000100095,1940,District Of Columbia,11,District Of Columbia,1,,95,,STCTY-11001 TRACT-    0095     IN WASHINGTON DC,7649,115
G11000100096,1940,District Of Columbia,11,District Of Columbia,1,,96,,STCTY-11001 TRACT-    0096     IN WASHINGTON DC,4641,2003
