GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,B7B001,B7B002,B7B003
G11000100035,1960,District Of Columbia,11,District Of Columbia,1,,35,,TRACT 35 WASHINGTON D C,17.0,2595.0,16.0
G11000100036,1960,District Of Columbia,11,District Of Columbia,1,,36,,TRACT 36 WASHINGTON D C,903.0,5545.0,32.0
G11000100037,1960,District Of Columbia,11,District Of Columbia,1,,37,,TRACT 37 WASHINGTON D C,2766.0,3448.0,92.0
G11000100038,1960,District Of Columbia,11,District Of Columbia,1,,38,,TRACT 38 WASHINGTON D C,2303.0,2778.0,92.0
G11000100039,1960,District Of Columbia,11,District Of Columbia,1,,39,,TRACT 39 WASHINGTON D C,4653.0,546.0,126.0
G11000100040,1960,District Of Columbia,11,District Of Columbia,1,,40,,TRACT 40 WASHINGTON D C,5035.0,2418.0,146.0
G11000100041,1960,District Of Columbia,11,District Of Columbia,1,,41,,TRACT 41 WASHINGTON D C,3209.0,141.0,80.0
G11000100042,1960,District Of Columbia,11,District Of Columbia,1,,42,,TRACT 42 WASHINGTON D C,3196.0,5721.0,98.0
G11000100043,1960,District Of Columbia,11,District Of Columbia,1,,43,,TRACT 43 WASHINGTON D C,653.0,3832.0,49.0
G11000100044,1960,District Of Columbia,11,District Of Columbia,1,,44,,TRACT 44 WASHINGTON D C,48.0,3679.0,6.0
G11000100045,1960,District Of Columbia,11,District Of Columbia,1,,45,,TRACT 45 WASHINGTON D C,5.0,2436.0,9.0
G11000100046,1960,District Of Columbia,11,District Of Columbia,1,,46,,TRACT 46 WASHINGTON D C,58.0,6716.0,15.0
G11000100047,1960,District Of Columbia,11,District Of Columbia,1,,47,,TRACT 47 WASHINGTON D C,676.0,5640.0,85.0
G11000100048,1960,District Of Columbia,11,District Of Columbia,1,,48,,TRACT 48 WASHINGTON D C,39.0,8439.0,5.0
G11000100049,1960,District Of Columbia,11,District Of Columbia,1,,49,,TRACT 49 WASHINGTON D C,414.0,8497.0,88.0
G11000100050,1960,District Of Columbia,11,District Of Columbia,1,,50,,TRACT 50 WASHINGTON D C,1818.0,6334.0,84.0
G11000100051,1960,District Of Columbia,11,District Of Columbia,1,,51,,TRACT 51 WASHINGTON D C,1775.0,603.0,73.0
G110001000521,1960,District Of Columbia,11,District Of Columbia,1,,52,1,TRACT 52-1 WASHINGTON D C,2682.0,3298.0,51.0
G110001000522,1960,District Of Columbia,11,District Of Columbia,1,,52,2,TRACT 52-2 WASHINGTON D C,1256.0,9.0,26.0
G110001000531,1960,District Of Columbia,11,District Of Columbia,1,,53,1,TRACT 53-1 WASHINGTON D C,4361.0,1428.0,107.0
G110001000532,1960,District Of Columbia,11,District Of Columbia,1,,53,2,TRACT 53-2 WASHINGTON D C,1005.0,10.0,7.0
G110001000541,1960,District Of Columbia,11,District Of Columbia,1,,54,1,TRACT 54-1 WASHINGTON D C,2030.0,518.0,76.0
G110001000542,1960,District Of Columbia,11,District Of Columbia,1,,54,2,TRACT 54-2 WASHINGTON D C,758.0,62.0,11.0
G11000100055,1960,District Of Columbia,11,District Of Columbia,1,,55,,TRACT 55 WASHINGTON D C,4046.0,2021.0,115.0
G11000100056,1960,District Of Columbia,11,District Of Columbia,1,,56,,TRACT 56 WASHINGTON D C,3082.0,651.0,63.0
G110001000571,1960,District Of Columbia,11,District Of Columbia,1,,57,1,TRACT 57-1 WASHINGTON D C,5102.0,221.0,57.0
G110001000572,1960,District Of Columbia,11,District Of Columbia,1,,57,2,TRACT 57-2 WASHINGTON D C,1376.0,17.0,11.0
G11000100058,1960,District Of Columbia,11,District Of Columbia,1,,58,,TRACT 58 WASHINGTON D C,896.0,275.0,318.0
G11000100059,1960,District Of Columbia,11,District Of Columbia,1,,59,,TRACT 59 WASHINGTON D C,1890.0,1940.0,40.0
G11000100060,1960,District Of Columbia,11,District Of Columbia,1,,60,,TRACT 60 WASHINGTON D C,633.0,1056.0,10.0
G11000100061,1960,District Of Columbia,11,District Of Columbia,1,,61,,TRACT 61 WASHINGTON D C,18.0,42.0,0.0
G11000100062,1960,District Of Columbia,11,District Of Columbia,1,,62,,TRACT 62 WASHINGTON D C,49.0,50.0,0.0
G11000100063,1960,District Of Columbia,11,District Of Columbia,1,,63,,TRACT 63 WASHINGTON D C,829.0,1514.0,17.0
G11000100064,1960,District Of Columbia,11,District Of Columbia,1,,64,,TRACT 64 WASHINGTON D C,42.0,3218.0,2.0
G11000100065,1960,District Of Columbia,11,District Of Columbia,1,,65,,TRACT 65 WASHINGTON D C,2488.0,2183.0,59.0
