GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,BLOCKA,CDA,AREANAME,C0X001,C0X002,C0X003
G1100010006801,1970,District Of Columbia,11,District Of Columbia,1,,,6801,,8840.0,,,,Tract   68.01,152,3237,0
G1100010006802,1970,District Of Columbia,11,District Of Columbia,1,,,6802,,8840.0,,,,Tract   68.02,174,3898,0
G1100010006803,1970,District Of Columbia,11,District Of Columbia,1,,,6803,,8840.0,,,,Tract   68.03,226,1191,0
G11000100069,1970,District Of Columbia,11,District Of Columbia,1,,,69,,8840.0,,,,Tract   69,254,3594,0
G11000100070,1970,District Of Columbia,11,District Of Columbia,1,,,70,,8840.0,,,,Tract   70,1373,1642,50
G11000100071,1970,District Of Columbia,11,District Of Columbia,1,,,71,,8840.0,,,,Tract   71,253,3878,4
G11000100072,1970,District Of Columbia,11,District Of Columbia,1,,,72,,8840.0,,,,Tract   72,201,3890,0
G1100010007299,1970,District Of Columbia,11,District Of Columbia,1,,,7299,,8840.0,,,,Tract   72.99,120,7,4
G1100010007301,1970,District Of Columbia,11,District Of Columbia,1,,,7301,,8840.0,,,,Tract   73.01,3780,696,430
G1100010007302,1970,District Of Columbia,11,District Of Columbia,1,,,7302,,8840.0,,,,Tract   73.02,1249,4099,117
G1100010007303,1970,District Of Columbia,11,District Of Columbia,1,,,7303,,8840.0,,,,Tract   73.03,533,6360,54
G1100010007304,1970,District Of Columbia,11,District Of Columbia,1,,,7304,,8840.0,,,,Tract   73.04,173,4798,0
G1100010007306,1970,District Of Columbia,11,District Of Columbia,1,,,7306,,8840.0,,,,Tract   73.06,623,9320,0
G1100010007307,1970,District Of Columbia,11,District Of Columbia,1,,,7307,,8840.0,,,,Tract   73.07,804,7252,63
G1100010007308,1970,District Of Columbia,11,District Of Columbia,1,,,7308,,8840.0,,,,Tract   73.08,337,806,9
G1100010007401,1970,District Of Columbia,11,District Of Columbia,1,,,7401,,8840.0,,,,Tract   74.01,279,4219,4
G1100010007402,1970,District Of Columbia,11,District Of Columbia,1,,,7402,,8840.0,,,,Tract   74.02,120,12166,25
G1100010007404,1970,District Of Columbia,11,District Of Columbia,1,,,7404,,8840.0,,,,Tract   74.04,46,4014,6
G1100010007405,1970,District Of Columbia,11,District Of Columbia,1,,,7405,,8840.0,,,,Tract   74.05,80,10190,0
G1100010007501,1970,District Of Columbia,11,District Of Columbia,1,,,7501,,8840.0,,,,Tract   75.01,782,6547,27
G1100010007502,1970,District Of Columbia,11,District Of Columbia,1,,,7502,,8840.0,,,,Tract   75.02,370,3183,0
G1100010007601,1970,District Of Columbia,11,District Of Columbia,1,,,7601,,8840.0,,,,Tract   76.01,1576,5326,45
G1100010007602,1970,District Of Columbia,11,District Of Columbia,1,,,7602,,8840.0,,,,Tract   76.02,1822,6500,78
G1100010007603,1970,District Of Columbia,11,District Of Columbia,1,,,7603,,8840.0,,,,Tract   76.03,2662,3001,21
G1100010007701,1970,District Of Columbia,11,District Of Columbia,1,,,7701,,8840.0,,,,Tract   77.01,990,5292,16
G1100010007702,1970,District Of Columbia,11,District Of Columbia,1,,,7702,,8840.0,,,,Tract   77.02,1497,5529,6
G1100010007703,1970,District Of Columbia,11,District Of Columbia,1,,,7703,,8840.0,,,,Tract   77.03,124,7283,17
G1100010007705,1970,District Of Columbia,11,District Of Columbia,1,,,7705,,8840.0,,,,Tract   77.05,23,11365,12
G1100010007706,1970,District Of Columbia,11,District Of Columbia,1,,,7706,,8840.0,,,,Tract   77.06,35,5779,5
G1100010007707,1970,District Of Columbia,11,District Of Columbia,1,,,7707,,8840.0,,,,Tract   77.07,141,6192,3
G1100010007801,1970,District Of Columbia,11,District Of Columbia,1,,,7801,,8840.0,,,,Tract   78.01,15,7425,6
G1100010007802,1970,District Of Columbia,11,District Of Columbia,1,,,7802,,8840.0,,,,Tract   78.02,138,7328,24
G1100010007803,1970,District Of Columbia,11,District Of Columbia,1,,,7803,,8840.0,,,,Tract   78.03,132,5623,19
G1100010007804,1970,District Of Columbia,11,District Of Columbia,1,,,7804,,8840.0,,,,Tract   78.04,7,4132,16
G1100010007805,1970,District Of Columbia,11,District Of Columbia,1,,,7805,,8840.0,,,,Tract   78.05,55,7949,4
G1100010007807,1970,District Of Columbia,11,District Of Columbia,1,,,7807,,8840.0,,,,Tract   78.07,9,2682,0
G1100010007808,1970,District Of Columbia,11,District Of Columbia,1,,,7808,,8840.0,,,,Tract   78.08,2,6156,8
G1100010007901,1970,District Of Columbia,11,District Of Columbia,1,,,7901,,8840.0,,,,Tract   79.01,55,4980,0
G1100010007902,1970,District Of Columbia,11,District Of Columbia,1,,,7902,,8840.0,,,,Tract   79.02,22,2552,9
G1100010008001,1970,District Of Columbia,11,District Of Columbia,1,,,8001,,8840.0,,,,Tract   80.01,38,5023,14
G1100010008002,1970,District Of Columbia,11,District Of Columbia,1,,,8002,,8840.0,,,,Tract   80.02,163,5035,5
G11000100081,1970,District Of Columbia,11,District Of Columbia,1,,,81,,8840.0,,,,Tract   81,478,3903,47
G11000100082,1970,District Of Columbia,11,District Of Columbia,1,,,82,,8840.0,,,,Tract   82,2386,466,52
G1100010008301,1970,District Of Columbia,11,District Of Columbia,1,,,8301,,8840.0,,,,Tract   83.01,297,3754,0
G1100010008302,1970,District Of Columbia,11,District Of Columbia,1,,,8302,,8840.0,,,,Tract   83.02,410,3085,20
G11000100084,1970,District Of Columbia,11,District Of Columbia,1,,,84,,8840.0,,,,Tract   84,186,6341,11
G11000100085,1970,District Of Columbia,11,District Of Columbia,1,,,85,,8840.0,,,,Tract   85,217,5339,27
G11000100086,1970,District Of Columbia,11,District Of Columbia,1,,,86,,8840.0,,,,Tract   86,30,375,0
G11000100087,1970,District Of Columbia,11,District Of Columbia,1,,,87,,8840.0,,,,Tract   87,106,7257,9
G1100010008801,1970,District Of Columbia,11,District Of Columbia,1,,,8801,,8840.0,,,,Tract   88.01,693,6358,40
G1100010008802,1970,District Of Columbia,11,District Of Columbia,1,,,8802,,8840.0,,,,Tract   88.02,80,6304,35
G1100010008901,1970,District Of Columbia,11,District Of Columbia,1,,,8901,,8840.0,,,,Tract   89.01,9,4405,12
G1100010008902,1970,District Of Columbia,11,District Of Columbia,1,,,8902,,8840.0,,,,Tract   89.02,9,4891,19
G11000100090,1970,District Of Columbia,11,District Of Columbia,1,,,90,,8840.0,,,,Tract   90,258,1531,0
G1100010009101,1970,District Of Columbia,11,District Of Columbia,1,,,9101,,8840.0,,,,Tract   91.01,740,4160,8
G1100010009102,1970,District Of Columbia,11,District Of Columbia,1,,,9102,,8840.0,,,,Tract   91.02,214,5791,15
G11000100092,1970,District Of Columbia,11,District Of Columbia,1,,,92,,8840.0,,,,Tract   92,2102,5881,43
G11000100093,1970,District Of Columbia,11,District Of Columbia,1,,,93,,8840.0,,,,Tract   93,984,5609,47
G11000100094,1970,District Of Columbia,11,District Of Columbia,1,,,94,,8840.0,,,,Tract   94,516,5188,32
G1100010009501,1970,District Of Columbia,11,District Of Columbia,1,,,9501,,8840.0,,,,Tract   95.01,958,3523,55
G1100010009502,1970,District Of Columbia,11,District Of Columbia,1,,,9502,,8840.0,,,,Tract   95.02,2702,5021,113
G1100010009503,1970,District Of Columbia,11,District Of Columbia,1,,,9503,,8840.0,,,,Tract   95.03,1077,3168,33
G1100010009505,1970,District Of Columbia,11,District Of Columbia,1,,,9505,,8840.0,,,,Tract   95.05,470,4141,52
G1100010009506,1970,District Of Columbia,11,District Of Columbia,1,,,9506,,8840.0,,,,Tract   95.06,269,5357,53
G11000100096,1970,District Of Columbia,11,District Of Columbia,1,,,96,,8840.0,,,,Tract   96,1898,2405,2
G11000100097,1970,District Of Columbia,11,District Of Columbia,1,,,97,,8840.0,,,,Tract   97,65,4310,7
G11000100098,1970,District Of Columbia,11,District Of Columbia,1,,,98,,8840.0,,,,Tract   98,127,8217,10
